Age,Macrophage,CellCount
40-64,MP1.,816.07
65+,MP1.,298.99
40-64,MP1.,510.69
65+,MP1.,1335.45
40-64,MP1.,636.87
65+,MP1.,1945.99
40-64,MP1.,435.13
65+,MP1.,987.74
40-64,MP1.,461.34
65+,MP1.,357.59
40-64,MP1.,37.87
65+,MP1.,103.85
40-64,MP1.,512.77
65+,MP1.,585.43
40-64,MP1.,726.96
65+,MP1.,290.88
40-64,MP1.,874.51
65+,MP1.,320.23
40-64,MP2.,168.53
65+,MP2.,55.28
40-64,MP2.,391.38
65+,MP2.,11.68
40-64,MP2.,127.52
65+,MP2.,99.64
40-64,MP2.,99.74
65+,MP2.,57.29
40-64,MP2.,231.1
65+,MP2.,23.94
40-64,MP2.,36.89
65+,MP2.,23.85
40-64,MP2.,173.19
65+,MP2.,58.87
40-64,MP2.,66.42
65+,MP2.,45.03
40-64,MP2.,47.06
65+,MP2.,223.06
40-64,MP3.,82.33
65+,MP3.,24.92
40-64,MP3.,72.76
65+,MP3.,7.58
40-64,MP3.,47.48
65+,MP3.,83.58
40-64,MP3.,67.95
65+,MP3.,117.55
40-64,MP3.,96.8
65+,MP3.,8.01
40-64,MP3.,2.75
65+,MP3.,4.73
40-64,MP3.,81.6
65+,MP3.,23.4
40-64,MP3.,36.52
65+,MP3.,17.27
40-64,MP3.,35.29
65+,MP3.,0.32
